	1	2	3	4	5	6	7
129	0.83	0.83	1.00	1.00	0.74	0.90	1.05
130	0.83	0.83	1.00	1.00	0.75	0.90	1.05
131	0.84	0.84	1.00	1.00	0.76	0.90	1.05
132	0.85	0.85	1.00	1.00	0.77	0.90	1.05
133	0.85	0.85	1.00	1.00	0.78	0.90	1.05
134	0.86	0.86	1.00	1.00	0.79	0.90	1.05
135	0.87	0.87	1.00	1.00	0.80	0.90	1.05
136	0.87	0.87	1.00	1.00	0.81	0.90	1.05
137	0.88	0.88	1.00	1.00	0.82	0.90	1.05
138	0.89	0.89	1.00	1.00	0.83	0.90	1.05
139	0.89	0.89	1.00	1.00	0.84	0.90	1.05
140	0.90	0.90	1.00	1.00	0.85	0.90	1.05
141	0.91	0.91	1.00	1.00	0.86	0.90	1.05
142	0.91	0.91	1.00	1.00	0.87	0.90	1.05
143	0.92	0.92	1.00	1.00	0.88	0.90	1.05
144	0.93	0.93	1.00	1.00	0.89	0.90	1.05
145	0.93	0.93	1.00	1.00	0.90	0.90	1.05
146	0.94	0.94	1.00	1.00	0.91	0.90	1.05
147	0.95	0.95	1.00	1.00	0.92	0.90	1.05
148	0.95	0.95	1.00	1.00	0.93	0.90	1.05
149	0.96	0.96	1.00	1.00	0.94	0.90	1.05
150	0.97	0.97	1.00	1.00	0.95	0.90	1.05
151	0.97	0.97	1.00	1.00	0.96	0.90	1.05
152	0.98	0.98	1.00	1.00	0.97	0.90	1.05
153	0.99	0.99	1.00	1.00	0.98	0.90	1.05
154	0.99	0.99	1.00	1.00	0.99	0.90	1.05
155	1.00	1.00	1.00	1.00	1.00	0.90	1.05
156	1.01	1.01	1.00	1.00	1.01	0.90	1.05
157	1.01	1.01	1.00	1.00	1.02	0.90	1.05
158	1.02	1.02	1.00	1.00	1.03	0.90	1.05
159	1.03	1.03	1.00	1.00	1.04	0.90	1.05
160	1.03	1.03	1.00	1.00	1.05	0.90	1.05
161	1.04	1.04	1.00	1.00	1.06	0.90	1.05
162	1.05	1.05	1.00	1.00	1.07	0.90	1.05
163	1.05	1.05	1.00	1.00	1.08	0.90	1.05
164	1.06	1.06	1.00	1.00	1.09	0.90	1.05
165	1.07	1.07	1.00	1.00	1.10	0.90	1.05
166	1.07	1.07	1.00	1.00	1.11	0.90	1.05
167	1.08	1.08	1.00	1.00	1.12	0.90	1.05
168	1.09	1.09	1.00	1.00	1.13	0.90	1.05
