The average c_Ia, ET, Fc, M_relative and TmpSoil values are estimated by DHM-WM global water balance routine as below:
date	c_Ia	ET(mm)	Fc(mm)	M_rel	TmpSoil(C)
20041005	0.000	2.08	0.00	0.59	19.37
20041006	0.000	2.54	0.00	0.59	19.21
20041007	0.000	2.05	0.00	0.58	18.99
20041008	0.000	2.19	0.00	0.58	18.93
20041009	0.000	1.00	0.00	0.58	18.97
20041010	0.080	0.99	0.02	0.58	18.97
20041011	0.079	0.87	0.00	0.58	19.03
20041012	0.079	1.41	0.00	0.58	18.64
20041013	0.079	1.46	0.00	0.58	18.33
20041014	0.080	2.06	0.06	0.57	17.70
20041015	0.079	2.38	0.42	0.58	17.49
20041016	0.000	2.18	0.00	0.60	17.59
20041017	0.000	2.17	0.00	0.59	17.75
20041018	0.000	1.42	0.00	0.59	17.93
20041019	0.078	1.05	0.02	0.58	18.10
20041020	0.077	1.31	0.00	0.59	18.25
20041021	0.000	1.62	0.00	0.58	18.25
20041022	0.000	1.13	0.00	0.58	18.13
20041023	0.000	1.62	0.00	0.58	18.03
20041024	0.079	0.94	0.00	0.57	18.06
20041025	0.000	1.73	0.00	0.57	18.02
20041026	0.000	1.59	0.00	0.57	18.02
20041027	0.000	1.39	0.00	0.57	18.28
20041028	0.000	1.40	0.00	0.57	18.43
20041029	0.000	0.63	0.00	0.56	18.59
20041030	0.000	1.37	0.00	0.56	18.74
20041031	0.000	1.34	0.00	0.56	18.81
20041101	0.000	1.66	0.00	0.56	19.00
20041102	0.000	1.16	0.00	0.55	19.18
20041103	0.000	1.56	0.00	0.55	18.81
20041104	0.082	1.05	0.02	0.55	18.17
20041105	0.000	1.58	0.00	0.55	17.54
20041106	0.000	1.61	0.00	0.55	17.13
20041107	0.000	1.67	0.00	0.55	17.11
20041108	0.000	1.68	0.00	0.54	16.77
20041109	0.000	1.57	0.00	0.54	16.46
20041110	0.000	1.30	0.00	0.54	16.39
20041111	0.000	0.52	0.00	0.54	16.67
20041112	0.084	0.73	0.15	0.53	16.46
20041113	0.081	0.19	0.00	0.55	16.01
20041114	0.000	0.96	0.00	0.55	15.65
20041115	0.000	1.37	0.00	0.55	15.32
20041116	0.000	1.25	0.00	0.54	15.22
20041117	0.000	1.49	0.00	0.54	15.22
20041118	0.000	1.30	0.00	0.54	15.47
20041119	0.083	0.98	0.02	0.53	15.78
20041120	0.083	0.38	0.12	0.54	16.28
20041121	0.080	0.59	1.34	0.55	16.66
20041122	0.076	1.02	2.12	0.58	16.92
20041123	0.073	0.59	0.27	0.60	17.03
20041124	0.073	0.26	7.30	0.61	16.58
20041125	0.000	1.18	0.00	0.65	15.89
20041126	0.000	1.20	0.00	0.65	15.64
20041127	0.073	0.71	1.76	0.64	15.47
20041128	0.000	1.24	0.00	0.67	15.36
20041129	0.000	1.24	0.00	0.66	15.60
20041130	0.000	1.05	0.00	0.66	15.49
20041201	0.075	1.15	0.00	0.65	15.18
20041202	0.000	1.14	0.00	0.65	14.86
20041203	0.000	1.24	0.00	0.65	14.78
20041204	0.000	0.98	0.00	0.65	14.58
20041205	0.077	0.88	0.02	0.65	15.05
20041206	0.000	1.17	0.00	0.65	15.61
20041207	0.076	0.71	0.00	0.65	16.10
20041208	0.000	0.61	0.00	0.64	16.48
20041209	0.077	0.67	0.06	0.64	16.53
20041210	0.076	2.23	6.93	0.65	15.91
20041211	0.000	0.71	0.00	0.69	15.43
20041212	0.000	1.12	0.00	0.68	15.37
20041213	0.000	1.51	0.00	0.68	14.66
20041214	0.000	1.10	0.00	0.67	14.00
20041215	0.000	0.97	0.00	0.67	13.68
20041216	0.000	1.13	0.00	0.67	13.66
20041217	0.000	0.98	0.00	0.67	13.66
20041218	0.000	1.32	0.00	0.66	13.57
20041219	0.000	1.33	0.00	0.66	13.00
20041220	0.000	0.91	0.00	0.66	12.97
20041221	0.000	1.33	0.00	0.66	13.43
20041222	0.078	1.18	0.00	0.66	13.61
20041223	0.078	0.67	0.56	0.66	13.08
20041224	0.075	0.30	0.01	0.67	12.73
20041225	0.075	0.42	0.33	0.67	12.65
20041226	0.074	0.88	5.93	0.68	12.63
20041227	0.000	1.04	0.00	0.71	12.74
20041228	0.000	1.00	0.00	0.71	13.06
20041229	0.000	0.98	0.00	0.70	13.41
20041230	0.000	1.14	0.00	0.70	13.78
20041231	0.000	0.74	0.00	0.70	13.99
20050101	0.000	1.10	0.00	0.70	14.47
20050102	0.000	1.10	0.00	0.69	14.91
20050103	0.000	1.21	0.00	0.69	15.21
20050104	0.000	1.27	0.00	0.69	15.49
20050105	0.000	1.01	0.00	0.69	15.67
20050106	0.000	1.27	0.00	0.68	16.01
20050107	0.000	0.53	0.00	0.68	16.28
20050108	0.079	0.72	0.00	0.68	16.50
20050109	0.079	0.79	0.00	0.68	16.58
20050110	0.000	1.26	0.00	0.68	16.63
20050111	0.000	0.97	0.00	0.68	16.60
20050112	0.000	1.06	0.00	0.68	16.71
20050113	0.080	0.87	3.09	0.67	16.79
20050114	0.075	1.02	0.30	0.70	16.39
20050115	0.000	1.30	0.00	0.71	15.86
20050116	0.000	1.46	0.00	0.70	15.45
20050117	0.000	1.08	0.00	0.70	14.63
20050118	0.000	1.06	0.00	0.70	13.99
20050119	0.000	1.11	0.00	0.70	13.57
20050120	0.000	1.54	0.00	0.69	13.66
20050121	0.000	1.31	0.00	0.69	13.95
20050122	0.000	0.58	0.00	0.69	14.30
20050123	0.000	1.13	0.00	0.69	13.69
20050124	0.000	1.28	0.00	0.68	13.23
20050125	0.000	1.68	0.00	0.68	13.36
20050126	0.000	1.17	0.00	0.68	13.94
20050127	0.000	1.39	0.00	0.68	14.16
20050128	0.080	0.91	0.03	0.67	13.74
20050129	0.080	0.12	3.17	0.68	13.18
20050130	0.000	0.65	0.00	0.70	13.17
20050131	0.000	0.37	0.00	0.70	13.01
20050201	0.000	0.58	0.00	0.70	13.11
20050202	0.076	0.22	0.28	0.70	13.05
20050203	0.074	0.19	1.48	0.71	13.05
20050204	0.000	1.28	0.00	0.73	13.18
20050205	0.000	1.54	0.00	0.72	13.28
20050206	0.000	1.60	0.00	0.72	13.46
20050207	0.000	1.51	0.00	0.71	14.00
20050208	0.000	1.85	0.00	0.71	14.36
20050209	0.078	0.26	5.15	0.71	14.69
20050210	0.000	1.69	0.00	0.73	14.59
20050211	0.000	1.73	0.00	0.73	14.27
20050212	0.000	1.97	0.00	0.73	14.28
20050213	0.000	1.95	0.00	0.72	14.54
20050214	0.077	0.67	0.00	0.72	14.78
20050215	0.077	0.88	0.00	0.72	15.18
20050216	0.000	0.89	0.00	0.72	15.54
20050217	0.000	2.05	0.00	0.71	15.45
20050218	0.000	1.93	0.00	0.71	15.08
20050219	0.000	1.86	0.00	0.71	14.80
20050220	0.000	1.79	0.00	0.70	14.95
20050221	0.000	1.49	0.00	0.70	15.45
20050222	0.081	1.89	0.43	0.70	16.07
20050223	0.078	1.69	0.00	0.71	16.45
20050224	0.078	1.27	0.00	0.71	16.62
20050225	0.078	0.33	0.06	0.71	16.14
20050226	0.000	1.51	0.00	0.71	15.74
20050227	0.077	0.15	7.83	0.71	15.42
20050228	0.000	0.80	0.00	0.75	15.33
20050301	0.000	2.21	0.00	0.75	15.03
20050302	0.000	1.07	0.00	0.74	14.76
20050303	0.000	0.83	0.00	0.74	14.48
20050304	0.000	2.17	0.00	0.74	14.38
20050305	0.000	2.73	0.00	0.73	14.62
20050306	0.000	2.37	0.00	0.73	14.65
20050307	0.079	2.84	0.26	0.72	14.95
20050308	0.078	2.49	0.05	0.73	14.91
20050309	0.000	0.92	0.00	0.73	14.60
20050310	0.000	2.03	0.00	0.73	14.38
20050311	0.000	1.99	0.00	0.72	14.47
20050312	0.000	3.78	0.00	0.72	14.73
20050313	0.000	3.40	0.00	0.71	15.23
20050314	0.000	1.88	0.00	0.70	15.76
20050315	0.082	0.93	0.00	0.70	15.68
20050316	0.082	0.18	6.63	0.70	15.40
20050317	0.073	0.20	0.04	0.74	14.93
20050318	0.000	0.66	0.00	0.74	14.58
20050319	0.000	2.24	0.00	0.74	14.53
20050320	0.000	2.25	0.00	0.73	14.79
20050321	0.000	1.93	0.00	0.73	15.26
20050322	0.078	0.10	8.59	0.72	15.52
20050323	0.067	2.98	0.01	0.78	15.95
20050324	0.000	2.93	0.00	0.77	16.18
20050325	0.074	1.36	1.24	0.76	16.35
20050326	0.073	1.19	7.53	0.77	16.61
20050327	0.069	0.45	20.59	0.80	16.86
20050328	0.060	1.99	0.02	0.84	16.75
20050329	0.000	3.41	0.00	0.83	16.82
20050330	0.000	3.12	0.00	0.81	16.86
20050331	0.075	0.55	7.90	0.80	16.95
20050401	0.068	0.11	9.30	0.82	16.88
20050402	0.062	3.01	0.05	0.84	16.57
20050403	0.000	3.28	0.00	0.82	16.38
20050404	0.000	3.43	0.00	0.81	16.46
20050405	0.000	3.57	0.00	0.80	16.55
20050406	0.000	2.18	0.00	0.79	16.74
20050407	0.079	0.97	8.86	0.78	16.85
20050408	0.000	2.04	0.00	0.82	16.89
20050409	0.000	1.78	0.00	0.81	16.93
20050410	0.000	3.04	0.00	0.80	17.01
20050411	0.000	3.01	0.00	0.79	17.02
20050412	0.078	1.40	0.11	0.78	17.14
20050413	0.077	2.67	0.01	0.78	17.11
20050414	0.000	1.56	0.00	0.77	16.75
20050415	0.000	3.54	0.00	0.77	16.51
20050416	0.000	3.36	0.00	0.76	16.33
20050417	0.000	3.45	0.00	0.75	16.21
20050418	0.000	3.55	0.00	0.75	16.29
20050419	0.000	3.31	0.00	0.74	16.42
20050420	0.000	3.34	0.00	0.73	16.68
20050421	0.000	3.43	0.00	0.73	17.02
20050422	0.087	3.05	6.92	0.72	17.21
20050423	0.077	3.10	0.25	0.76	17.01
20050424	0.000	3.09	0.00	0.76	16.58
20050425	0.079	3.12	0.01	0.75	16.31
20050426	0.079	0.67	0.74	0.74	16.28
20050427	0.000	3.93	0.00	0.76	16.47
20050428	0.000	3.42	0.00	0.75	16.44
20050429	0.000	3.77	0.00	0.74	16.65
20050430	0.081	0.35	7.47	0.73	16.80
20050501	0.000	3.32	0.00	0.77	16.85
20050502	0.000	3.72	0.00	0.76	16.88
20050503	0.000	3.45	0.00	0.76	16.88
20050504	0.078	3.47	0.08	0.75	16.98
20050505	0.078	0.42	0.53	0.75	16.89
20050506	0.000	2.97	0.00	0.76	16.91
20050507	0.000	3.46	0.00	0.75	16.94
20050508	0.000	3.80	0.00	0.74	17.15
20050509	0.000	3.82	0.00	0.74	17.35
20050510	0.000	3.58	0.00	0.73	17.69
20050511	0.000	3.59	0.00	0.72	17.79
20050512	0.000	3.81	0.00	0.72	17.98
20050513	0.000	4.36	0.00	0.71	18.19
20050514	0.000	3.57	0.00	0.70	18.32
20050515	0.000	3.92	0.00	0.69	18.44
20050516	0.000	3.12	0.00	0.69	18.50
20050517	0.000	3.54	0.00	0.68	18.63
20050518	0.000	3.57	0.00	0.67	18.73
20050519	0.098	3.46	0.31	0.67	18.92
20050520	0.095	4.12	1.56	0.68	19.00
20050521	0.090	1.69	0.00	0.70	18.79
20050522	0.000	3.81	0.00	0.69	18.65
20050523	0.000	3.76	0.00	0.68	18.81
20050524	0.000	5.20	0.00	0.68	19.08
20050525	0.000	4.25	0.00	0.67	18.82
20050526	0.000	3.99	0.00	0.66	18.64
20050527	0.000	4.28	0.00	0.65	18.64
20050528	0.000	4.19	0.00	0.64	18.82
20050529	0.106	4.19	0.01	0.64	19.05
20050530	0.106	2.88	0.00	0.63	19.15
20050531	0.107	1.66	0.26	0.63	19.20
20050601	0.103	1.66	5.35	0.64	19.23
20050602	0.092	2.45	0.35	0.68	19.31
20050603	0.096	3.01	2.62	0.69	19.35
20050604	0.091	2.53	0.00	0.71	19.41
20050605	0.094	3.62	0.21	0.71	19.60
20050606	0.093	3.70	0.61	0.71	19.74
20050607	0.092	3.93	0.00	0.72	19.79
20050608	0.095	4.73	6.70	0.71	19.89
20050609	0.088	4.02	0.00	0.74	19.88
20050610	0.092	1.52	0.55	0.73	19.76
20050611	0.091	1.42	3.76	0.74	19.68
20050612	0.088	2.67	0.67	0.76	19.76
20050613	0.089	3.98	0.27	0.77	19.93
20050614	0.000	4.42	0.00	0.77	20.06
20050615	0.000	4.59	0.00	0.75	20.18
20050616	0.000	5.36	0.00	0.75	20.18
20050617	0.000	4.80	0.00	0.74	20.09
20050618	0.109	2.68	0.00	0.73	19.94
20050619	0.000	3.26	0.00	0.72	19.74
20050620	0.000	4.71	0.00	0.72	19.60
20050621	0.000	4.64	0.00	0.71	19.52
20050622	0.115	4.25	0.00	0.70	19.58
20050623	0.000	4.56	0.00	0.69	19.70
20050624	0.000	4.39	0.00	0.68	19.74
20050625	0.120	2.08	0.00	0.68	19.58
20050626	0.120	2.37	0.00	0.67	19.64
20050627	0.120	3.51	0.00	0.67	19.84
20050628	0.121	1.65	0.11	0.67	19.77
20050629	0.119	3.04	0.33	0.67	19.85
20050630	0.116	2.74	0.00	0.68	19.90
20050701	0.117	4.54	6.57	0.68	20.09
20050702	0.101	3.84	0.16	0.72	20.17
20050703	0.000	3.95	0.00	0.72	20.20
20050704	0.104	3.67	0.00	0.71	20.25
20050705	0.105	3.25	0.00	0.70	20.30
20050706	0.106	2.94	0.00	0.70	20.27
20050707	0.107	4.42	0.00	0.70	20.16
20050708	0.109	4.53	0.00	0.69	20.18
20050709	0.111	2.24	0.00	0.68	20.24
20050710	0.111	0.67	18.11	0.68	20.02
20050711	0.082	4.63	0.03	0.79	20.09
20050712	0.091	4.44	0.40	0.78	20.16
20050713	0.096	4.29	0.55	0.78	20.18
20050714	0.000	4.24	0.00	0.78	20.18
20050715	0.101	3.94	0.05	0.77	20.17
20050716	0.103	4.42	0.04	0.76	20.23
20050717	0.000	4.33	0.00	0.76	20.30
20050718	0.107	4.38	0.08	0.75	20.36
20050719	0.107	4.16	0.00	0.74	20.37
20050720	0.109	3.99	0.41	0.74	20.44
20050721	0.106	5.13	1.95	0.74	20.48
20050722	0.000	4.75	0.00	0.76	20.49
20050723	0.104	4.70	0.00	0.75	20.58
20050724	0.000	4.98	0.00	0.74	20.60
20050725	0.000	3.93	0.00	0.73	20.64
20050726	0.000	4.52	0.00	0.72	20.74
20050727	0.000	4.02	0.00	0.71	20.85
20050728	0.000	4.71	0.00	0.71	20.93
20050729	0.116	4.62	0.00	0.70	20.95
20050730	0.117	2.45	0.67	0.69	20.71
20050731	0.000	2.61	0.00	0.71	20.58
20050801	0.112	2.66	0.04	0.70	20.46
20050802	0.111	2.61	0.00	0.70	20.35
20050803	0.112	2.70	0.00	0.70	20.30
20050804	0.000	2.96	0.00	0.70	20.29
20050805	0.114	2.30	6.41	0.69	20.21
20050806	0.098	2.37	0.38	0.74	20.06
20050807	0.000	3.12	0.00	0.74	20.00
20050808	0.101	3.68	0.02	0.73	20.00
20050809	0.102	3.83	0.00	0.73	20.10
20050810	0.104	3.36	0.03	0.72	20.18
20050811	0.104	3.55	0.97	0.72	20.22
20050812	0.000	4.00	0.00	0.74	20.26
20050813	0.103	4.18	0.00	0.73	20.23
20050814	0.000	4.06	0.00	0.72	20.28
20050815	0.106	4.05	0.00	0.71	20.32
20050816	0.000	4.20	0.00	0.71	20.34
20050817	0.109	4.03	0.00	0.70	20.42
20050818	0.111	4.27	0.03	0.69	20.54
20050819	0.110	2.47	0.00	0.69	20.60
20050820	0.111	3.85	0.01	0.69	20.68
20050821	0.000	3.43	0.00	0.69	20.81
20050822	0.112	4.53	0.59	0.68	20.90
20050823	0.108	3.47	0.00	0.69	20.82
20050824	0.109	3.97	0.00	0.69	20.77
20050825	0.000	2.21	0.00	0.68	20.65
20050826	0.000	2.64	0.00	0.68	20.49
20050827	0.000	3.04	0.00	0.67	20.44
20050828	0.113	3.27	0.00	0.67	20.51
20050829	0.113	2.95	0.00	0.66	20.57
20050830	0.114	3.55	0.04	0.66	20.65
20050831	0.113	2.53	0.34	0.66	20.57
20050901	0.109	4.09	0.00	0.68	20.50
20050902	0.000	4.14	0.00	0.67	20.41
20050903	0.000	4.10	0.00	0.66	20.29
20050904	0.000	4.14	0.00	0.65	20.19
20050905	0.000	4.38	0.00	0.64	20.05
20050906	0.117	3.83	0.00	0.63	19.97
20050907	0.000	3.16	0.00	0.63	19.90
20050908	0.000	3.84	0.00	0.62	19.91
20050909	0.000	3.84	0.00	0.62	19.85
20050910	0.000	4.25	0.00	0.61	19.79
20050911	0.000	4.35	0.00	0.60	19.75
20050912	0.000	4.20	0.00	0.59	19.77
20050913	0.000	4.15	0.00	0.59	19.80
20050914	0.000	4.08	0.00	0.58	19.88
20050915	0.000	3.20	0.00	0.57	20.06
20050916	0.000	3.42	0.00	0.57	20.34
20050917	0.000	3.47	0.00	0.56	20.54
20050918	0.000	3.31	0.00	0.55	20.74
20050919	0.000	3.06	0.00	0.55	20.91
20050920	0.000	3.31	0.00	0.54	20.91
20050921	0.000	2.80	0.00	0.54	20.92
20050922	0.000	2.39	0.00	0.53	20.92
20050923	0.000	2.61	0.00	0.53	20.95
20050924	0.000	3.01	0.00	0.52	21.04
20050925	0.000	2.99	0.00	0.52	20.99
20050926	0.128	1.51	0.00	0.51	20.78
20050927	0.128	1.54	0.00	0.51	20.65
20050928	0.000	2.76	0.00	0.52	20.71
20050929	0.000	2.76	0.00	0.51	20.70
20050930	0.121	2.43	0.00	0.50	20.73
20051001	0.000	1.85	0.00	0.50	20.77
20051002	0.121	2.28	0.07	0.50	20.77
20051003	0.000	2.77	0.00	0.51	20.67
20051004	0.000	2.03	0.00	0.50	20.65
20051005	0.112	0.84	0.06	0.50	20.38
20051006	0.111	1.32	0.37	0.50	20.26
20051007	0.099	1.43	0.35	0.52	20.32
20051008	0.000	0.52	0.00	0.54	19.88
20051009	0.000	1.67	0.00	0.54	19.76
20051010	0.000	1.50	0.00	0.53	19.72
20051011	0.000	1.08	0.00	0.53	19.69
20051012	0.000	1.08	0.00	0.53	19.56
20051013	0.000	1.16	0.00	0.52	19.39
20051014	0.000	1.92	0.00	0.52	19.26
20051015	0.000	1.99	0.00	0.52	19.09
20051016	0.000	2.13	0.00	0.52	18.87
20051017	0.000	1.91	0.00	0.51	18.56
20051018	0.000	1.99	0.00	0.51	18.42
20051019	0.000	1.99	0.00	0.50	18.40
20051020	0.000	1.76	0.00	0.50	18.42
20051021	0.000	1.65	0.00	0.50	18.69
20051022	0.000	1.85	0.00	0.50	18.64
20051023	0.000	1.25	0.00	0.49	18.15
20051024	0.000	1.94	0.00	0.49	17.45
20051025	0.000	1.39	0.00	0.49	16.69
20051026	0.000	1.40	0.00	0.48	16.07
20051027	0.000	1.52	0.00	0.48	15.71
20051028	0.000	1.52	0.00	0.48	15.58
20051029	0.000	1.44	0.00	0.48	15.30
20051030	0.000	1.50	0.00	0.47	15.08
20051031	0.000	1.34	0.00	0.47	15.16
20051101	0.096	1.88	0.03	0.47	15.60
20051102	0.095	1.57	0.00	0.47	16.00
20051103	0.000	1.42	0.00	0.47	16.19
20051104	0.000	1.39	0.00	0.47	16.27
20051105	0.000	1.20	0.00	0.46	16.44
20051106	0.000	1.21	0.00	0.46	16.81
20051107	0.000	1.10	0.00	0.46	17.14
20051108	0.000	1.38	0.00	0.46	17.44
20051109	0.000	1.44	0.00	0.46	17.59
20051110	0.000	1.60	0.00	0.45	17.54
20051111	0.000	1.46	0.00	0.45	17.05
20051112	0.000	1.25	0.00	0.45	16.71
20051113	0.000	1.16	0.00	0.45	16.85
20051114	0.000	1.22	0.00	0.44	16.98
20051115	0.000	1.26	0.00	0.44	17.33
20051116	0.000	0.90	0.00	0.44	17.28
20051117	0.000	1.12	0.00	0.44	16.31
20051118	0.000	1.16	0.00	0.44	15.45
20051119	0.000	0.96	0.00	0.44	15.01
20051120	0.098	1.02	0.26	0.43	15.28
20051121	0.095	0.55	0.90	0.45	15.08
20051122	0.000	1.14	0.00	0.49	14.66
20051123	0.000	1.18	0.00	0.48	14.23
20051124	0.000	1.50	0.00	0.48	14.81
20051125	0.000	1.23	0.00	0.48	14.75
20051126	0.000	0.60	0.00	0.47	14.68
20051127	0.000	0.58	0.00	0.47	15.07
20051128	0.091	0.71	0.04	0.47	15.60
20051129	0.090	0.72	0.19	0.48	15.53
20051130	0.000	1.03	0.00	0.49	15.00
20051201	0.000	1.21	0.00	0.49	14.57
20051202	0.000	1.00	0.00	0.48	14.07
20051203	0.000	1.00	0.00	0.48	13.79
20051204	0.089	0.48	2.67	0.48	14.48
20051205	0.082	0.09	14.12	0.52	14.55
20051206	0.000	1.11	0.00	0.59	14.11
20051207	0.000	0.68	0.00	0.58	13.78
20051208	0.075	0.09	2.27	0.58	13.82
20051209	0.072	0.92	0.00	0.61	13.61
20051210	0.000	1.07	0.00	0.60	13.52
20051211	0.000	1.06	0.00	0.60	13.49
20051212	0.000	1.28	0.00	0.60	13.55
20051213	0.000	0.96	0.00	0.59	13.32
20051214	0.000	0.65	0.00	0.59	13.19
20051215	0.076	0.27	0.96	0.59	13.49
20051216	0.000	0.98	0.00	0.61	13.27
20051217	0.074	0.20	0.91	0.61	13.07
20051218	0.072	0.34	0.37	0.63	13.09
20051219	0.000	0.61	0.00	0.64	13.18
20051220	0.000	0.88	0.00	0.64	12.98
20051221	0.000	1.00	0.00	0.63	12.75
20051222	0.000	0.98	0.00	0.63	12.60
20051223	0.000	1.05	0.00	0.63	12.52
20051224	0.000	0.51	0.00	0.63	12.48
20051225	0.076	1.08	6.36	0.63	12.89
20051226	0.000	0.73	0.00	0.66	12.93
20051227	0.000	1.17	0.00	0.66	13.07
20051228	0.074	0.72	0.01	0.66	13.44
20051229	0.000	1.22	0.00	0.66	13.61
20051230	0.000	0.95	0.00	0.65	13.67
20051231	0.000	0.82	0.00	0.65	14.24
20060101	0.076	0.15	0.28	0.65	14.58
20060102	0.074	0.24	8.33	0.66	15.10
20060103	0.000	1.46	0.00	0.71	15.18
20060104	0.000	1.19	0.00	0.71	15.13
20060105	0.000	1.63	0.00	0.70	15.27
20060106	0.000	0.87	0.00	0.70	14.78
20060107	0.000	1.05	0.00	0.70	14.24
20060108	0.000	1.44	0.00	0.69	14.21
20060109	0.000	1.11	0.00	0.69	14.68
20060110	0.000	1.37	0.00	0.69	14.83
20060111	0.000	1.30	0.00	0.69	15.33
20060112	0.000	0.67	0.00	0.68	15.61
20060113	0.077	0.64	0.63	0.68	15.67
20060114	0.000	1.28	0.00	0.70	15.11
20060115	0.000	1.23	0.00	0.70	14.72
20060116	0.000	0.69	0.00	0.69	14.80
20060117	0.076	1.31	2.35	0.69	15.11
20060118	0.000	1.42	0.00	0.71	14.74
20060119	0.000	1.47	0.00	0.71	14.46
20060120	0.000	1.36	0.00	0.70	14.57
20060121	0.000	0.91	0.00	0.70	15.07
20060122	0.000	0.70	0.00	0.70	15.48
20060123	0.077	0.95	0.34	0.70	16.02
20060124	0.075	1.59	0.00	0.71	16.01
20060125	0.000	1.94	0.00	0.71	15.73
20060126	0.000	1.45	0.00	0.70	15.24
20060127	0.000	1.51	0.00	0.70	15.00
20060128	0.000	1.48	0.00	0.70	15.07
20060129	0.078	0.49	0.04	0.69	15.26
20060130	0.077	1.18	4.41	0.70	15.51
20060131	0.000	1.66	0.00	0.72	15.22
20060201	0.000	1.56	0.00	0.72	14.97
20060202	0.076	0.14	7.18	0.71	14.92
20060203	0.000	0.64	0.00	0.75	15.27
20060204	0.072	1.40	0.35	0.74	15.16
20060205	0.000	1.64	0.00	0.75	14.72
20060206	0.000	1.15	0.00	0.74	14.58
20060207	0.075	1.44	0.06	0.74	14.54
20060208	0.000	1.71	0.00	0.74	14.21
20060209	0.000	1.52	0.00	0.74	13.92
20060210	0.000	1.42	0.00	0.73	13.72
20060211	0.078	0.46	3.05	0.73	13.72
20060212	0.000	1.09	0.00	0.75	13.31
20060213	0.000	1.29	0.00	0.75	13.02
20060214	0.000	1.77	0.00	0.75	12.98
20060215	0.000	2.06	0.00	0.74	13.38
20060216	0.000	2.14	0.00	0.74	13.89
20060217	0.000	1.97	0.00	0.73	14.42
20060218	0.079	1.59	0.28	0.73	14.72
20060219	0.000	0.77	0.00	0.74	14.50
20060220	0.000	0.32	0.00	0.74	14.48
20060221	0.078	0.88	0.57	0.73	14.81
20060222	0.000	1.33	0.00	0.75	15.25
20060223	0.076	0.86	0.06	0.74	15.29
20060224	0.000	2.18	0.00	0.75	15.35
20060225	0.077	0.09	17.48	0.74	15.31
20060226	0.066	2.03	0.15	0.79	15.13
20060227	0.000	2.08	0.00	0.79	14.87
20060228	0.000	2.52	0.00	0.78	14.98
20060301	0.000	2.34	0.00	0.78	15.28
20060302	0.000	1.08	0.00	0.77	15.61
20060303	0.000	2.74	0.00	0.77	15.77
20060304	0.000	2.15	0.00	0.76	15.59
20060305	0.000	2.44	0.00	0.76	15.50
20060306	0.080	2.71	0.04	0.75	15.78
20060307	0.000	2.33	0.00	0.75	15.58
20060308	0.000	2.25	0.00	0.75	15.47
20060309	0.000	2.38	0.00	0.74	15.53
20060310	0.000	1.80	0.00	0.74	16.09
20060311	0.000	2.49	0.00	0.73	16.53
20060312	0.000	2.68	0.00	0.73	16.88
20060313	0.000	2.81	0.00	0.72	17.21
20060314	0.086	2.81	0.33	0.72	17.05
20060315	0.000	2.72	0.00	0.73	16.65
20060316	0.000	2.06	0.00	0.72	16.34
20060317	0.000	2.92	0.00	0.72	16.49
20060318	0.000	1.90	0.00	0.71	16.27
20060319	0.000	1.25	0.00	0.71	16.07
20060320	0.000	2.33	0.00	0.70	16.29
20060321	0.088	2.07	1.78	0.70	16.49
20060322	0.000	2.27	0.00	0.72	16.24
20060323	0.083	0.55	0.00	0.72	15.85
20060324	0.000	2.27	0.00	0.72	15.51
20060325	0.000	2.56	0.00	0.71	15.18
20060326	0.000	2.29	0.00	0.71	14.81
20060327	0.000	2.60	0.00	0.70	14.74
20060328	0.000	2.75	0.00	0.70	14.95
20060329	0.000	2.10	0.00	0.69	15.39
20060330	0.000	2.33	0.00	0.69	15.78
20060331	0.000	3.30	0.00	0.68	16.23
20060401	0.000	2.62	0.00	0.68	16.63
20060402	0.000	2.52	0.00	0.67	17.17
20060403	0.000	2.99	0.00	0.67	17.52
20060404	0.000	3.14	0.00	0.66	17.38
20060405	0.000	3.38	0.00	0.66	17.16
20060406	0.000	3.45	0.00	0.65	17.13
20060407	0.000	3.41	0.00	0.64	17.24
20060408	0.093	1.51	3.98	0.64	17.44
20060409	0.000	1.68	0.00	0.67	17.18
20060410	0.000	3.04	0.00	0.67	16.94
20060411	0.000	2.97	0.00	0.66	16.82
20060412	0.000	2.50	0.00	0.66	16.83
20060413	0.000	3.14	0.00	0.65	16.99
20060414	0.000	3.52	0.00	0.64	17.30
20060415	0.000	3.91	0.00	0.64	17.65
20060416	0.000	3.59	0.00	0.63	17.95
20060417	0.000	2.85	0.00	0.62	18.32
20060418	0.000	1.83	0.00	0.62	18.53
20060419	0.092	2.65	0.00	0.62	18.71
20060420	0.000	3.41	0.00	0.61	18.91
20060421	0.000	2.95	0.00	0.61	19.04
20060422	0.093	2.48	0.06	0.60	18.99
20060423	0.000	3.44	0.00	0.61	19.00
20060424	0.000	3.34	0.00	0.60	19.05
20060425	0.000	3.43	0.00	0.59	19.18
20060426	0.094	1.96	0.19	0.59	19.18
20060427	0.000	2.69	0.00	0.60	18.83
20060428	0.000	3.10	0.00	0.59	18.50
20060429	0.000	2.67	0.00	0.59	18.24
20060430	0.000	2.33	0.00	0.58	18.09
20060501	0.000	2.68	0.00	0.58	17.88
20060502	0.000	3.20	0.00	0.57	17.79
20060503	0.000	3.32	0.00	0.57	18.11
20060504	0.000	3.33	0.00	0.56	18.44
20060505	0.096	1.99	0.00	0.55	18.62
20060506	0.000	2.97	0.00	0.56	18.69
